fund_house,aum_crore,year
SBI Mutual Fund,605000.0,2022
ICICI Prudential MF,465000.0,2022
HDFC Mutual Fund,435000.0,2022
Nippon India MF,270000.0,2022
Kotak Mahindra MF,270000.0,2022
Aditya Birla Sun Life MF,278000.0,2022
Axis Mutual Fund,250000.0,2022
UTI Mutual Fund,230000.0,2022
Mirae Asset MF,105000.0,2022
DSP Mutual Fund,110000.0,2022
SBI Mutual Fund,630000.0,2022
ICICI Prudential MF,488000.0,2022
HDFC Mutual Fund,445000.0,2022
Nippon India MF,278000.0,2022
Kotak Mahindra MF,272000.0,2022
Aditya Birla Sun Life MF,285000.0,2022
Axis Mutual Fund,240000.0,2022
UTI Mutual Fund,232000.0,2022
Mirae Asset MF,108000.0,2022
DSP Mutual Fund,112000.0,2022
SBI Mutual Fund,717000.0,2023
ICICI Prudential MF,500000.0,2023
HDFC Mutual Fund,450000.0,2023
Nippon India MF,293000.0,2023
Kotak Mahindra MF,289000.0,2023
Aditya Birla Sun Life MF,275000.0,2023
Axis Mutual Fund,241000.0,2023
UTI Mutual Fund,239000.0,2023
Mirae Asset MF,116000.0,2023
DSP Mutual Fund,115000.0,2023
SBI Mutual Fund,845000.0,2023
ICICI Prudential MF,590000.0,2023
HDFC Mutual Fund,535000.0,2023
Nippon India MF,340000.0,2023
Kotak Mahindra MF,325000.0,2023
Aditya Birla Sun Life MF,308000.0,2023
Axis Mutual Fund,260000.0,2023
UTI Mutual Fund,265000.0,2023
Mirae Asset MF,142000.0,2023
DSP Mutual Fund,132000.0,2023
SBI Mutual Fund,1000000.0,2024
ICICI Prudential MF,680000.0,2024
HDFC Mutual Fund,645000.0,2024
Nippon India MF,430000.0,2024
Kotak Mahindra MF,380000.0,2024
Aditya Birla Sun Life MF,340000.0,2024
Axis Mutual Fund,280000.0,2024
UTI Mutual Fund,290000.0,2024
Mirae Asset MF,175000.0,2024
DSP Mutual Fund,155000.0,2024
SBI Mutual Fund,1080000.0,2024
ICICI Prudential MF,742000.0,2024
HDFC Mutual Fund,710000.0,2024
Nippon India MF,468000.0,2024
Kotak Mahindra MF,405000.0,2024
Aditya Birla Sun Life MF,362000.0,2024
Axis Mutual Fund,290000.0,2024
UTI Mutual Fund,308000.0,2024
Mirae Asset MF,190000.0,2024
DSP Mutual Fund,172000.0,2024
SBI Mutual Fund,1114000.0,2024
ICICI Prudential MF,874000.0,2024
HDFC Mutual Fund,787000.0,2024
Nippon India MF,570000.0,2024
Kotak Mahindra MF,489000.0,2024
Aditya Birla Sun Life MF,384000.0,2024
Axis Mutual Fund,300000.0,2024
UTI Mutual Fund,352000.0,2024
Mirae Asset MF,210000.0,2024
DSP Mutual Fund,188000.0,2024
SBI Mutual Fund,1250000.0,2025
ICICI Prudential MF,880000.0,2025
HDFC Mutual Fund,795000.0,2025
Nippon India MF,560000.0,2025
Kotak Mahindra MF,492000.0,2025
Aditya Birla Sun Life MF,385000.0,2025
Axis Mutual Fund,310000.0,2025
UTI Mutual Fund,355000.0,2025
Mirae Asset MF,225000.0,2025
DSP Mutual Fund,195000.0,2025
SBI Mutual Fund,1250000.0,2025
ICICI Prudential MF,1074000.0,2025
HDFC Mutual Fund,930000.0,2025
Nippon India MF,700000.0,2025
Kotak Mahindra MF,580000.0,2025
Aditya Birla Sun Life MF,460000.0,2025
Axis Mutual Fund,350000.0,2025
UTI Mutual Fund,410000.0,2025
Mirae Asset MF,290000.0,2025
DSP Mutual Fund,230000.0,2025
