date,nav,scheme_name
2022-01-02,512.1124,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-03,503.1674,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-04,531.285,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-05,531.285,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-06,474.1732,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-07,452.584,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-08,433.0211,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-09,424.3603,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-10,424.3603,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-11,448.4277,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-12,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-13,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-14,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-15,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-16,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-17,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-18,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-19,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-20,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-21,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-22,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-23,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-24,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-25,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-26,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-27,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-28,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-29,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-30,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-01-31,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-01,482.4201,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-02,515.5386,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-03,504.7495,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-04,504.7495,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-05,524.0515,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-06,473.1602,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-07,473.1602,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-08,423.7137,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-09,418.068,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-10,418.068,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-11,453.5279,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-12,480.9949,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-13,480.9949,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-14,480.9949,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-15,480.9949,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-16,480.9949,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-17,480.9949,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-18,480.9949,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-19,480.9949,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-20,480.9949,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-21,480.9949,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-22,480.9949,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-23,480.9949,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-24,480.9949,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-25,480.9949,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-26,480.9949,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-27,480.9949,HDFC Top 100 Fund - Regular Plan - Growth
2022-02-28,480.9949,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-01,520.4608,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-02,512.0153,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-03,505.6316,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-04,505.6316,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-05,515.5881,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-06,470.7754,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-07,470.7754,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-08,423.3646,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-09,423.3646,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-10,430.3701,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-11,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-12,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-13,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-14,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-15,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-16,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-17,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-18,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-19,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-20,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-21,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-22,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-23,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-24,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-25,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-26,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-27,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-28,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-29,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-30,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-03-31,455.1164,HDFC Top 100 Fund - Regular Plan - Growth
2022-04-01,515.0971,HDFC Top 100 Fund - Regular Plan - Growth
2022-04-02,513.6729,HDFC Top 100 Fund - Regular Plan - Growth
2022-04-03,504.6233,HDFC Top 100 Fund - Regular Plan - Growth
2022-04-04,534.7762,HDFC Top 100 Fund - Regular Plan - Growth
2022-04-05,522.4674,HDFC Top 100 Fund - Regular Plan - Growth
2022-04-06,522.4674,HDFC Top 100 Fund - Regular Plan - Growth
2022-04-07,443.3196,HDFC Top 100 Fund - Regular Plan - Growth
