amfi_code,scheme_name,cagr_1yr,cagr_3yr,cagr_5yr,sharpe_ratio,sortino_ratio,beta,alpha_annualized,max_drawdown,expense_ratio_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_mdd,final_score
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.20734076336455232,0.339900868121239,,0.5836260237633544,0.24409372071134053,0.1760221888387501,0.5897244464766217,-0.4082315201190836,1.46,0.975,0.9,0.95,0.45,0.15,79.0
119094,Axis Midcap Fund - Regular - Growth,0.2866227271647206,0.34183068225321955,,0.5601759550160993,0.30281517535676267,0.016032841754598934,0.5351845355067028,-0.38181569056093767,1.38,1.0,0.85,0.85,0.6,0.175,78.99999999999999
120843,Kotak Flexicap Fund - Regular - Growth,0.36859511937884437,0.28604609872910314,,0.6000551745259451,0.3270322257915096,-0.23624546693692122,0.6018333697055032,-0.36588602495616096,1.45,0.85,0.95,0.975,0.475,0.25,78.375
120505,ICICI Pru Midcap Fund - Regular - Growth,0.3076549515773741,0.3053086778494427,,0.5874541829103426,0.3154131993903582,-0.16948470437723878,0.49838372991239577,-0.3777916702293329,1.36,0.9,0.925,0.775,0.65,0.2,77.375
149324,DSP Small Cap Fund - Regular - Growth,0.7840296595513174,0.2938530322715953,,0.7015139189350625,0.4253615085225911,-0.19852933455942948,1.0492887853508575,-0.5235259853217533,1.52,0.875,1.0,1.0,0.3625,0.025,76.93749999999999
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.5071742639667802,0.33350808304124824,,0.5199906854197015,0.2800024679510064,-0.14700551876476708,0.3665035322126598,-0.33454004873840315,1.38,0.95,0.825,0.7,0.6,0.35,75.625
119598,SBI Small Cap Fund - Regular Plan - Growth,0.9180235316585257,0.28545438588183925,,0.6109739905401547,0.4300523955924289,-0.08498937018581944,0.5568140645991769,-0.43390782877736134,1.43,0.825,0.975,0.875,0.5,0.1,75.125
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.11141138548959106,0.2698160867810637,,0.4403612636457088,0.23862434902626056,-0.17908292852352342,0.36281765230075047,-0.2686916445510288,0.8,0.775,0.675,0.675,0.725,0.625,70.75
119551,SBI Bluechip Fund - Regular Plan - Growth,0.48964245119349115,0.2799588004965725,,0.4985461473416401,0.23968411409815102,-0.23118528208729996,0.5793384263248054,-0.3720709094613869,1.54,0.8,0.775,0.925,0.2625,0.225,68.0625
125497,HDFC Top 100 Fund - Direct Plan - Growth,0.2952695517048638,0.18498776277316775,,0.4023216711438098,0.2238486561013077,-0.18768933750806732,0.3832963559700492,-0.26096257113007804,0.92,0.675,0.6,0.725,0.675,0.675,66.62500000000001
148569,Mirae Asset Tax Saver Fund - Regular - Growth,0.32303801733999804,0.19497775524417316,,0.5134606908455845,0.3076052324141089,-0.10325793064557948,0.5589913493903518,-0.28347021010523554,1.6,0.7,0.8,0.9,0.1125,0.575,66.4375
101206,ABSL Frontline Equity Fund - Regular - Growth,0.4460666814394827,0.3211035344870097,,0.42265059984695486,0.24602903540387572,-0.06631382525565938,0.32491199879488336,-0.2988231402834415,1.6,0.925,0.65,0.55,0.1125,0.475,61.4375
102887,UTI Flexi Cap Fund - Regular - Growth,0.09322099188672639,0.25389041124552736,,0.4202135679339536,0.22331466497866423,0.021098782855651966,0.5109042264969741,-0.32639310456683424,1.64,0.75,0.625,0.825,0.0375,0.375,58.9375
149323,DSP Midcap Fund - Regular - Growth,0.23415832404529247,0.24521636486064158,,0.562142506743403,0.32267777797450503,-0.1978232722900581,0.3597812601786568,-0.4286999927255848,1.61,0.725,0.875,0.625,0.075,0.125,58.5
119093,Axis Bluechip Fund - Direct - Growth,0.14130399120720472,0.17832576720671822,,0.23655767199787986,0.1527437109501564,-0.09907282508910575,0.28825863862653195,-0.2550992167363012,0.75,0.65,0.275,0.525,0.825,0.725,56.49999999999999
119552,SBI Bluechip Fund - Direct Plan - Growth,0.04510529467891278,0.14056075477068797,,0.3731154135537481,0.20149640625008333,-0.20323215449090035,0.2672461083815332,-0.29436095224058123,0.66,0.45,0.525,0.425,0.925,0.525,54.25
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.06938780120117438,0.11537326926286862,,0.4458368516714018,0.24296286333934783,-0.1374582711917531,0.5079633480565878,-0.32466130785296965,1.52,0.375,0.7,0.8,0.3625,0.4,54.1875
